voter,proposal,weight,cycle
hazdkmbxgene,6,3,1
polishhodler,6,5,1
rochelle.ai,6,0,1
ruudstatucki,6,1,1
cabaret31111,6,9,1
verige331133,6,1,1
vctcalwallet,6,1,1
eostytledger,7,3,1
vctcalwallet,7,1,1
guztgnjyguge,7,1,1
guztgnjyguge,6,1,1
shahargluska,6,1,1
shahargluska,7,1,1
xrossxrosste,6,9,1
xrossxrosste,7,9,1
seventhwave1,6,5,1
seventhwave1,7,5,1
dajinofgpool,7,5,1
tomhumphries,6,1,1
tomhumphries,7,1,1
moreefx4gian,7,5,1
moreefx4gian,6,5,1
hakf355store,7,49,1
polishhodler,7,5,1
verige331133,7,1,1
thorshammer1,7,1,1
thorshammer1,6,1,1
dsyffpw5s1go,7,3,1
dsyffpw5s1go,6,3,1
container135,6,1,1
container135,7,1,1
almostthere2,7,1,1
tropicalfish,6,3,1
raskendrills,6,1,1
cry2211sub11,6,9,1
cry2211sub11,7,9,1
huckleberry2,7,28,1
houlmeman1ma,7,2,1
houlmeman1ma,6,2,1
huckleberry2,6,28,1
gi2tamzzgege,6,5,1
verheullaan1,7,2,1
gy2danzsgege,6,16,1
suddendeath1,7,3,1
trumpcrypto1,6,16,1
ruudstatucki,7,1,1
extemporized,6,1,1
eostytledger,6,3,1
offsummer123,7,1,1
offsummer123,6,1,1
richardweals,7,5,1
pepsoutrufus,7,1,1
pepsoutrufus,6,1,1
richardweals,6,5,1
leoandthelaw,7,2,1
leoandthelaw,6,2,1
purpleclouds,7,5,1
purpleclouds,6,5,1
breekean2222,7,9,1
bushidomonk2,7,3,1
bushidomonk2,6,3,1
anilksareen1,7,2,1
anilksareen1,6,2,1
mrprometheus,7,5,1
breekean2222,6,9,1
nechibubeos3,7,9,1
nechibubeos3,6,9,1
cabaret31111,7,9,1
marcsaccount,6,3,1
verheullaan1,6,2,1
elhoutbaraaa,6,2,1
almostthere2,6,1,1
mystakedefx1,6,2,1
mystakedefx1,7,2,1
marianmarius,7,1,1
marianmarius,6,1,1
phyletically,7,3,1
szutyanka111,7,1,1
bastiaan1234,7,3,1
bastiaan1234,6,3,1
efxnfxwallet,7,3,1
efxnfxwallet,6,3,1
mikenatomike,7,2,1
cryptkeeper1,7,3,1
dajinofgpool,6,5,1
mrprometheus,6,5,1
yellow.co,7,1,1
elhoutbaraaa,7,2,1
yellow.co,6,1,1
ronaldcrypto,7,5,1
ronaldcrypto,6,5,1
marcsaccount,7,3,1
mahavakyaste,7,2,1
mahavakyaste,6,2,1
suddendeath1,6,3,1
tropicalfish,7,3,1
hakf355store,6,49,1
