account,agreedtermsversion,registration_time,dao_rank,efx_staked,nfx_staked,power
11mrmarian11,0,2020-11-16T21:10:49,0,3878.0959,1.0202,6585.482419202791
1yuricordova,0,2020-11-17T01:31:32,2,200000.0,19227.915,400000.0000000115
4carpfishing,0,2020-11-19T14:42:50,0,37500.0,3704.3494,75000.00000000217
4mont1me1111,0,2020-11-24T05:35:35,3,325000.0,24041.0,825326.7438664482
4vb3wt3ww1g5,0,2020-11-21T20:39:15,0,5698.6819,14.3027,10779.478314725333
agnesaccount,0,2020-11-25T20:57:15,0,57795.6914,3103.0358,115591.38280000334
alansss11111,0,2020-11-16T21:16:11,3,500053.0006,24042.5873,940699.8238743923
albertol1212,0,2020-11-17T16:34:36,0,1601.7212,0,3141.2938675391965
aloufisultan,0,2020-11-16T20:59:50,1,204155.4721,10000.9206,298087.9970244026
alvarocampis,0,2020-11-18T19:32:08,0,108592.1667,1.0085,149482.04514446732
anilksareen1,0,2020-11-18T05:40:22,1,160129.2723,11278.9989,270638.32078819757
aritzelos.tp,0,2020-11-23T21:54:08,0,100297.2943,227.6443,188192.42266584816
ashiitake111,0,2020-11-16T20:56:57,0,20000.0,0,40000.00000000115
bastiaan1234,0,2020-11-18T15:20:48,3,306177.7418,24042.0,711805.4541439097
benjaminchoi,0,2020-11-21T05:47:39,0,10139.1526,84.672,19900.61129260771
berfectstrik,0,2020-12-08T19:59:12,0,13297.0206,0,18020.785748675353
bitcoinbeda2,0,2020-11-17T05:02:13,0,35349.0,3453.1972,67063.54829604807
bjjgray12345,0,2020-11-17T14:49:34,4,605324.3839,51700.5665,1210648.7678
blablabluber,0,2020-11-27T18:03:30,0,893.7254,88.3273,1787.4508
boraboraxxxx,0,2020-11-16T21:15:13,0,65394.3334,479.5648,130788.66680000379
boychodechev,0,2020-11-20T04:45:55,0,25000.0,3512.4257,50000.00000000144
breekean2222,0,2020-11-16T20:37:40,5,870141.4803,60000.0,2132004.953265305
brianbax1111,0,2020-11-16T21:13:59,1,102736.6549,10177.3233,257942.31773273295
bruhhelpmeee,0,2020-11-26T01:20:03,0,30303.0,0,43145.606387583844
bucketofrain,0,2020-12-18T15:47:33,0,0,0,0.0
buddhaman111,0,2020-11-17T06:49:00,0,25758.507,1589.8394,51517.014
bushidomonk2,0,2020-11-16T21:43:01,3,311668.9266,26865.5604,752574.6057789165
cabaret31111,0,2020-11-16T21:27:19,5,992853.0918,62020.8894,2521317.573211694
carnationcmz,0,2020-11-28T08:07:06,5,1131775.4045,89615.0,2746134.6810710337
cgp45yolovkt,0,2020-11-16T20:46:46,0,0.753,0.6291,1.3375959169986178
coincassocom,0,2020-11-16T21:03:43,2,228313.7051,19393.8745,433862.7133592202
coinerweber1,0,2020-11-16T21:00:26,0,3511.1554,257.9017,7022.3108
coinsfp11111,0,2020-11-17T06:53:07,1,175120.1096,12794.0579,350240.21920001006
container135,0,2020-11-16T20:54:38,1,185268.6945,10000.0,470473.6947659276
crbtcaccount,0,2020-11-16T21:48:14,0,104184.0099,2746.2534,208368.019800006
cry2211sub11,0,2020-11-16T20:43:25,5,1000000.0,89615.0,2000000.0
cryptkeeper1,0,2020-11-17T05:28:16,3,334000.0001,24041.0,802277.804623449
cryptokoala1,0,2020-11-17T10:01:06,0,45000.0,2953.8331,97787.43554387761
cryptopauw23,0,2020-11-16T22:22:25,0,24011.2276,28.325,42157.646512746214
d1gitalon3o5,0,2020-11-16T21:14:46,4,581594.2597,40059.5185,1163188.5194000336
dajinofgpool,0,2020-11-16T21:01:13,4,558236.4912,37400.0,1116472.9824
dangminhtuan,0,2020-12-07T13:39:47,0,39537.728,3862.0,79075.45600000229
dasajev.1.tp,0,2020-12-08T01:46:13,0,3112.584,0,4661.3917972799045
davidcrypto4,0,2020-11-30T20:57:05,0,141645.0223,8933.7284,283290.0446000082
dikkiedik111,0,2020-11-17T09:02:57,0,22908.0,1000.5699,45816.0
dixmixdix123,0,2020-11-17T22:11:52,0,23046.1003,33.5319,41367.50368376859
djdenonukeos,0,2020-11-19T05:41:43,0,30450.29,3007.8415,60900.58000000176
djlovejuicex,0,2020-11-16T20:36:54,3,251707.4061,24041.0,639202.6300609456
djstrikanova,0,2020-11-17T00:15:39,6,1850000.0,150000.0,3700000.0
domeos123455,0,2020-11-17T06:56:00,0,10740.3584,0,21480.7168
dsyffpw5s1go,0,2020-11-16T20:36:02,3,327094.4175,37276.4178,806852.702091417
ducthuanckm1,0,2020-11-17T00:28:30,0,75082.2172,5830.3762,190182.70134774718
eagleeyes111,0,2020-11-28T11:19:06,1,123900.0,12213.9937,247800.00000000716
ecowaynigeri,0,2020-11-18T10:40:33,1,113584.0,10000.0,288442.8102505787
effectai1153,0,2020-11-18T20:23:19,0,10875.0,2.0,16602.160359292793
efxmltmihero,0,2020-12-06T18:38:12,0,13688.0,1351.6994,27376.00000000079
efxnfxwallet,0,2020-11-16T21:27:06,3,300000.9954,24848.4023,702488.8470162156
efxriadfoxxx,0,2020-11-18T15:18:56,0,8351.4969,0,21208.350089685442
efxrubensanz,0,2020-11-24T22:56:42,0,27776.0,0,39433.317701736516
efxswapswap1,0,2020-11-26T20:35:47,0,5811.96,470.38,11623.92
elhoutbaraaa,0,2020-11-18T08:58:36,2,309412.0001,15505.7138,440304.563017238
eliasdmol.tp,0,2020-11-17T20:46:32,0,49349.6905,91.5911,90532.03964226357
elisabethdut,0,2020-11-17T13:28:44,0,4020.33,233.1868,9818.747345825788
eos25dav13ef,0,2020-11-17T11:32:34,0,25082.2866,1615.974,63695.235002445654
eoseffectai1,0,2020-11-16T21:45:30,1,103897.9,10508.0,207795.80000000598
eosfackerboy,0,2020-11-17T08:11:14,0,10640.0,274.278,21280.000000000615
eosideas4all,0,2020-11-18T10:01:32,0,22845.2886,2114.3579,58014.85467192773
eosnonledger,0,2020-11-17T22:13:08,0,3726.1969,1.0,6228.792330055129
eospuppyfaqs,0,2020-11-17T03:26:12,0,29234.4254,2020.1378,58468.85080000169
eostytledger,0,2020-11-16T21:27:59,1,551570.1361,10000.4825,1103140.2722
estimate1111,0,2020-11-18T12:27:15,0,80279.83,7552.3895,203784.1295098752
extemporized,0,2020-11-16T19:04:54,1,600555.0,10000.0,1366615.395261244
fabioeoswall,0,2020-12-15T11:12:58,0,19635.0,1697.4975,39270.0
fackhackeeos,0,2020-11-20T16:41:47,0,1240.0,0,2204.3721399991646
fgtothemoon1,0,2020-11-29T14:34:14,0,23276.92,1717.6489,46553.84
flawlessvic1,0,2020-11-17T04:07:30,0,10362.3496,277.3002,20724.6992
flobrand3525,0,2020-11-16T20:52:31,3,456327.0141,37243.1957,1070189.9815407887
forbiddenesc,0,2020-11-17T15:46:50,0,214253.7778,1685.0795,428507.5556000124
fractalbuddy,0,2020-11-16T20:51:10,0,2996.1007,2.9289,5275.248793544088
furnituremag,0,2020-11-18T10:25:39,0,65815.5862,6493.6374,131631.1724
g42dgmzxgage,0,2020-11-17T03:30:46,0,0.5264,0,0.887085972712695
g43dknzzgqge,0,2020-11-18T01:46:56,0,10029.9001,35.0057,19630.59096167994
g43dqobtgege,0,2020-11-18T17:17:04,0,3513.7842,199.9309,7027.5684
g44denbvgqge,0,2020-11-19T23:44:28,0,90082.4858,2646.4823,167936.7143735438
g4ydqmjwhage,0,2020-12-04T16:23:52,0,2994.9043,0,4106.190829029566
gi2tamzzgege,0,2020-11-16T21:28:57,3,749881.5714,32304.626,1297240.80650634
gi2tsmjwgage,0,2020-11-16T22:22:55,0,48246.2276,500.0,96492.4552
gi4dmmjqhege,0,2020-11-17T18:44:55,0,30000.0,200.0,60000.00000000173
gm2tsnzugmge,0,2020-12-16T18:36:52,0,6176.1068,9.7661,10015.004824625477
gm3tgmbygege,0,2020-11-16T21:04:41,0,100109.5735,2476.4085,206722.45995906042
gm4dgnrzhege,0,2020-12-04T02:03:09,0,88875.49,8780.1811,177750.98
gmztmnrrguge,0,2020-11-19T23:51:04,0,19635.0,1939.6065,39270.000000001135
